ticker,concept,value,period_start,period_end,form,fiscal_year,fiscal_period,accession_number,is_canonical
ABBV,capex,-265000000.0,2026-01-01,2026-03-31,10-Q,2026,Q1,0001551152-26-000017,True
ABBV,capex,-1214000000.0,2025-01-01,2025-12-31,10-K,2025,FY,0001551152-26-000008,True
ABBV,capex,-235000000.0,2025-01-01,2025-03-31,10-Q,2025,Q1,0001551152-25-000029,True
ABBV,capex,-974000000.0,2024-01-01,2024-12-31,10-K,2024,FY,0001551152-25-000020,True
ABBV,capex,-193000000.0,2024-01-01,2024-03-31,10-Q,2024,Q1,0001551152-24-000020,True
ABBV,capex,-777000000.0,2023-01-01,2023-12-31,10-K,2023,FY,0001551152-24-000011,True
ABBV,capex,-175000000.0,2023-01-01,2023-03-31,10-Q,2023,Q1,0001551152-23-000023,True
ABBV,capex,-695000000.0,2022-01-01,2022-12-31,10-K,2022,FY,0001551152-23-000011,True
ABBV,capex,-162000000.0,2022-01-01,2022-03-31,10-Q,2022,Q1,0001551152-22-000017,True
ABBV,capex,-787000000.0,2021-01-01,2021-12-31,10-K,2021,FY,0001551152-22-000007,True
ABBV,capex,-188000000.0,2021-01-01,2021-03-31,10-Q,2021,Q1,0001551152-21-000016,True
ABBV,capex,-798000000.0,2020-01-01,2020-12-31,10-K,2020,FY,0001551152-21-000008,True
ABBV,capex,-125000000.0,2020-01-01,2020-03-31,10-Q,2020,Q1,0001551152-20-000015,True
ABBV,capex,-552000000.0,2019-01-01,2019-12-31,10-K,2019,FY,0001551152-20-000007,True
ABBV,capex,-107000000.0,2019-01-01,2019-03-31,10-Q,2019,Q1,0001551152-19-000016,True
ABBV,capex,-638000000.0,2018-01-01,2018-12-31,10-K,2018,FY,0001551152-19-000008,True
ABBV,capex,-119000000.0,2018-01-01,2018-03-31,10-Q,2018,Q1,0001551152-18-000025,True
ABBV,capex,-529000000.0,2017-01-01,2017-12-31,10-K,2017,FY,0001551152-18-000014,True
ABBV,capex,-95000000.0,2017-01-01,2017-03-31,10-Q,2017,Q1,0001551152-18-000025,True
ABBV,capex,-479000000.0,2016-01-01,2016-12-31,10-K,2016,FY,0001551152-18-000014,True
ABBV,capex,-532000000.0,2015-01-01,2015-12-31,10-K,2015,FY,0001551152-18-000014,True
ABBV,cash,9391000000.0,2026-03-31,2026-03-31,10-Q,2026,Q1,0001551152-26-000017,True
ABBV,cash,5229000000.0,2025-12-31,2025-12-31,10-K,2025,FY,0001551152-26-000008,True
ABBV,cash,5629000000.0,2025-09-30,2025-09-30,10-Q,2025,Q3,0001551152-25-000049,True
ABBV,cash,6467000000.0,2025-06-30,2025-06-30,10-Q,2025,Q2,0001551152-25-000040,True
ABBV,cash,5175000000.0,2025-03-31,2025-03-31,10-Q,2025,Q1,0001551152-25-000029,True
ABBV,cash,5524000000.0,2024-12-31,2024-12-31,10-K,2024,FY,0001551152-25-000020,True
ABBV,cash,7257000000.0,2024-09-30,2024-09-30,10-Q,2024,Q3,0001551152-24-000040,True
ABBV,cash,13130000000.0,2024-06-30,2024-06-30,10-Q,2024,Q2,0001551152-24-000031,True
ABBV,cash,18067000000.0,2024-03-31,2024-03-31,10-Q,2024,Q1,0001551152-24-000020,True
ABBV,cash,12814000000.0,2023-12-31,2023-12-31,10-K,2023,FY,0001551152-24-000011,True
ABBV,cash,13287000000.0,2023-09-30,2023-09-30,10-Q,2023,Q3,0001551152-23-000045,True
ABBV,cash,8759000000.0,2023-06-30,2023-06-30,10-Q,2023,Q2,0001551152-23-000033,True
ABBV,cash,6711000000.0,2023-03-31,2023-03-31,10-Q,2023,Q1,0001551152-23-000023,True
ABBV,cash,9201000000.0,2022-12-31,2022-12-31,10-K,2022,FY,0001551152-23-000011,True
ABBV,cash,11832000000.0,2022-09-30,2022-09-30,10-Q,2022,Q3,0001551152-22-000045,True
ABBV,cash,8521000000.0,2022-06-30,2022-06-30,10-Q,2022,Q2,0001551152-22-000030,True
ABBV,cash,6098000000.0,2022-03-31,2022-03-31,10-Q,2022,Q1,0001551152-22-000017,True
ABBV,cash,9746000000.0,2021-12-31,2021-12-31,10-K,2021,FY,0001551152-22-000007,True
ABBV,cash,12182000000.0,2021-09-30,2021-09-30,10-Q,2021,Q3,0001551152-21-000031,True
ABBV,cash,8546000000.0,2021-06-30,2021-06-30,10-Q,2021,Q2,0001551152-21-000025,True
ABBV,cash,9755000000.0,2021-03-31,2021-03-31,10-Q,2021,Q1,0001551152-21-000016,True
ABBV,cash,8449000000.0,2020-12-31,2020-12-31,10-K,2020,FY,0001551152-21-000008,True
ABBV,cash,7890000000.0,2020-09-30,2020-09-30,10-Q,2020,Q3,0001551152-20-000032,True
ABBV,cash,6017000000.0,2020-06-30,2020-06-30,10-Q,2020,Q2,0001551152-20-000023,True
ABBV,cash,41142000000.0,2020-03-31,2020-03-31,10-Q,2020,Q1,0001551152-20-000015,True
ABBV,cash,39924000000.0,2019-12-31,2019-12-31,10-K,2019,FY,0001551152-20-000007,True
ABBV,cash,10648000000.0,2019-09-30,2019-09-30,10-Q,2019,Q3,0001551152-19-000030,True
ABBV,cash,5172000000.0,2019-06-30,2019-06-30,10-Q,2019,Q2,0001551152-19-000023,True
ABBV,cash,4897000000.0,2019-03-31,2019-03-31,10-Q,2019,Q1,0001551152-19-000016,True
ABBV,cash,7289000000.0,2018-12-31,2018-12-31,10-K,2018,FY,0001551152-19-000008,True
ABBV,cash,8015000000.0,2018-09-30,2018-09-30,10-Q,2018,Q3,0001551152-18-000042,True
ABBV,cash,3547000000.0,2018-06-30,2018-06-30,10-Q,2018,Q2,0001551152-18-000032,True
ABBV,cash,9007000000.0,2018-03-31,2018-03-31,10-Q,2018,Q1,0001551152-18-000025,True
ABBV,cash,9303000000.0,2017-12-31,2017-12-31,10-K,2017,FY,0001551152-18-000014,True
ABBV,cash,5100000000.0,2016-12-31,2016-12-31,10-K,2016,FY,0001551152-18-000014,True
ABBV,cfo,3829000000.0,2026-01-01,2026-03-31,10-Q,2026,Q1,0001551152-26-000017,True
ABBV,cfo,19030000000.0,2025-01-01,2025-12-31,10-K,2025,FY,0001551152-26-000008,True
ABBV,cfo,1635000000.0,2025-01-01,2025-03-31,10-Q,2025,Q1,0001551152-25-000029,True
ABBV,cfo,18806000000.0,2024-01-01,2024-12-31,10-K,2024,FY,0001551152-25-000020,True
ABBV,cfo,4040000000.0,2024-01-01,2024-03-31,10-Q,2024,Q1,0001551152-24-000020,True
ABBV,cfo,22839000000.0,2023-01-01,2023-12-31,10-K,2023,FY,0001551152-24-000011,True
ABBV,cfo,4193000000.0,2023-01-01,2023-03-31,10-Q,2023,Q1,0001551152-23-000023,True
ABBV,cfo,24943000000.0,2022-01-01,2022-12-31,10-K,2022,FY,0001551152-23-000011,True
ABBV,cfo,4908000000.0,2022-01-01,2022-03-31,10-Q,2022,Q1,0001551152-22-000017,True
ABBV,cfo,22777000000.0,2021-01-01,2021-12-31,10-K,2021,FY,0001551152-22-000007,True
ABBV,cfo,4877000000.0,2021-01-01,2021-03-31,10-Q,2021,Q1,0001551152-21-000016,True
